sub(sq(x1), sq(x2)); (0.0,)
sub(sq(x1), sq(neg(x2))); (0.0,)
sub(sq(safe_div(safe_sqrt(sq(x1)), cos(9))), sq(x2)); (0.134049466133937,)
sub(safe_sqrt(2), sq(x2)); (1.4180592704455388,)
sub(sq(x1), safe_div(tan(0.9471170323730693), cos(6))); (1.4545896516233794,)
sub(sq(1), sq(x2)); (1.5265167206832835,)
sub(sq(x1), sq(1)); (1.5613183074049835,)
sub(sq(x1), sq(0.996841577700375)); (1.5656847474349123,)
sub(sq(x1), cos(sq(5))); (1.5674307800582397,)
sub(sq(x1), tan(sin(-4))); (1.6025654500093234,)
sub(sq(x1), sq(neg(cos(-0.31777892192607937)))); (1.6378261511780643,)
sub(sq(x1), sq(cos(-9))); (1.706679936192424,)
sub(sq(safe_div(safe_sqrt(x1), cos(9))), sq(x2)); (1.752663054299152,)
sub(sq(x1), cos(cos(x1))); (1.7540532651359375,)
sub(sq(cos(0.5870075893627484)), sq(x2)); (1.8280227703127596,)
sub(2, sq(x2)); (1.85046371100582,)
sub(safe_sqrt(sq(x2)), sq(x2)); (1.85887447578544,)
sub(sq(safe_sqrt(x1)), sq(x2)); (1.8609439299589092,)
sub(safe_sqrt(sq(-0.6527284162415465)), sq(x2)); (1.8818882729447501,)
sub(sq(x1), sq(tan(tan(-2)))); (1.8892299416336271,)
sub(sq(cos(sq(x2))), sq(x2)); (2.013999842064549,)
sub(safe_sqrt(x1), sq(x2)); (2.075971253347072,)
sub(sq(neg(sin(x2))), sq(x2)); (2.097900454652157,)
sub(sq(0.7000838942182617), sq(x2)); (2.1312045528202375,)
sub(0.45156534929997827, sq(x2)); (2.1980681829888966,)
sub(safe_sqrt(sin(sq(x1))), sq(x2)); (2.200602452970397,)
sub(sq(cos(x2)), sq(x2)); (2.411886081649818,)
sub(sq(x1), sq(sin(0.6363703703918842))); (2.4234503142435373,)
sub(sq(x1), cos(x1)); (2.4371027783349346,)
sub(sq(sin(0.6050931908194337)), sq(x2)); (2.4413615997673603,)
sub(sq(x1), sq(cos(x1))); (2.460631637499244,)
sub(sq(safe_sqrt(x2)), sq(x2)); (2.5228179966364075,)
sub(0.26796011356932126, sq(x2)); (2.5572968844341335,)
sub(sq(x1), sq(safe_div(safe_sqrt(x1), cos(9)))); (2.5823146769372025,)
sub(sin(sq(x1)), sq(x2)); (2.668427385771197,)
sub(sq(x1), 0.23364883383547164); (2.6743477044745503,)
sub(sq(x1), cos(safe_div(1, x1))); (2.7781936994824448,)
sub(sq(x2), sq(x2)); (2.846455980812743,)
sub(sq(x1), sq(x1)); (2.846455980812743,)
sub(sq(x2), sq(neg(x2))); (2.846455980812743,)
0.3459466044897479; (2.969584461855724,)
sub(sq(x1), sq(sq(-0.3624084720412306))); (3.2013054997886,)
sub(sq(sq(mul(sub(x2, x2), sq(-5)))), sq(x2)); (3.202569730360747,)
neg(neg(-0.6244030638544433)); (3.2301092543169747,)
sub(sq(x1), sq(sub(x2, x2))); (3.2473423005817144,)
sub(sq(x1), safe_sqrt(mul(0.5103365036689238, -0.684208840834519))); (3.2473423005817144,)
sub(sq(x1), sq(safe_sqrt(-4))); (3.2473423005817144,)
cos(4); (3.2671884941504037,)
sub(sq(x1), -0.05065964788670185); (3.385981730215285,)
sub(mul(x1, -0.41597755141794646), sq(x2)); (3.443892055256979,)
sin(x2); (3.449440327640072,)
sub(sq(x1), cos(x2)); (3.5114742793954443,)
-0.8562336340212415; (3.571054525405621,)
sub(sq(sub(sub(0.3832810585508746, x1), safe_sqrt(x1))), sq(x2)); (3.6431046279210983,)
sub(sq(x1), mul(x2, -0.5421003151373258)); (3.6597997144781984,)
sub(sq(x1), cos(sub(x1, x2))); (3.6694435594602015,)
safe_sqrt(0.8256937285691419); (3.681210111867547,)
sub(sin(x2), sq(x2)); (3.7851360843055444,)
sq(-0.9889948017080563); (3.812909282926542,)
sin(safe_div(1, -0.5959036805449933)); (3.8250674001203193,)
sub(sq(x1), sin(mul(-1, x2))); (3.862997984881595,)
sub(sin(6), sq(x2)); (4.0283734359002645,)
sin(add(x1, 0.9280346363369416)); (4.16063619135596,)
x1; (4.188766363743458,)
x2; (4.195759264929771,)
sub(x1, sub(x1, x2)); (4.195759264929771,)
sub(sq(0.4042551590590766), x2); (4.2088120575962495,)
sub(x2, sq(-0.7199920978043506)); (4.450749584207929,)
sub(x1, sq(x2)); (4.51705217619209,)
sub(x1, sq(neg(x2))); (4.51705217619209,)
sub(x2, sq(x2)); (4.519069523252972,)
sub(sq(x1), x1); (4.557540868321074,)
sub(sq(x1), x2); (4.557550805945276,)
sub(add(x1, -0.026827706025515097), sq(x2)); (4.589136386014555,)
sub(sq(x1), neg(x1)); (4.6131967425198175,)
sub(sin(sq(x1)), x1); (4.703322561095118,)
sub(x1, sq(tan(0.7091138560725505))); (4.711595067452379,)
sub(mul(x1, x2), sq(x2)); (4.969465904604795,)
sub(neg(safe_sqrt(x2)), sq(x2)); (4.983999867879437,)
sub(sq(x1), sq(add(safe_sqrt(-0.2452749608789273), mul(x1, x2)))); (5.013981325213541,)
sub(sin(tan(-0.5391638397410574)), sq(x2)); (5.027043602861039,)
add(0.92219184248217, x2); (5.070633621281383,)
sub(neg(1), x1); (5.186176786468714,)
sub(x1, x2); (5.498336771977295,)
sub(x2, x1); (5.502351590850656,)
sub(add(x1, x2), sq(x2)); (5.86070226991018,)
sub(sq(x1), sub(x2, 0.7186717081277292)); (6.992531530697481,)
sub(x1, 2); (8.136926071927945,)
sub(add(x1, x1), sq(x2)); (8.507587631700897,)
sub(tan(safe_div(-0.28731055442374887, -9)), sq(x1)); (8.766589604357867,)
neg(sq(x1)); (8.850709121765266,)
sub(sq(x2), sq(sq(x2))); (9.622551820827232,)
sub(sq(add(x1, -0.7933489987876763)), x2); (9.985513130516596,)
sub(x1, sq(x1)); (10.169475445688592,)
sub(x2, sq(x1)); (10.173500202186155,)
sub(sq(x2), x1); (10.290941522075546,)
sub(sq(sub(x1, x2)), sq(x2)); (10.296784751999093,)
add(-3, x1); (13.111005926020187,)
sub(sq(sq(x1)), sq(x2)); (13.309193196716917,)
sub(sq(sq(x1)), sq(neg(x2))); (13.309193196716917,)
sub(sq(x1), sq(sq(x2))); (13.817072686348567,)
sub(sq(sub(x2, -0.7562659039754067)), sq(x1)); (14.83015066679722,)
-4; (18.806572046815674,)
sub(sub(sub(-2, 0.15390216692828096), neg(x2)), sq(x1)); (20.519676270221833,)
sub(sq(sq(x1)), cos(sub(x1, x2))); (22.372745922450434,)
sub(sq(sq(x1)), -0.19178148679800167); (22.866348104075634,)
sub(sq(sq(x1)), x1); (22.944113361211055,)
sub(sq(x1), sq(sq(x1))); (22.973238990708275,)
sub(sq(sq(x2)), sq(x2)); (23.704505513495388,)
sub(sq(x1), sq(add(safe_sqrt(x1), add(x2, x1)))); (34.83453974885208,)
sub(mul(sub(-0.2104355480269302, 4), sub(x2, -0.4650768072571425)), sq(x2)); (36.33370198771351,)
sub(safe_sqrt(x1), sq(sq(x1))); (36.87759171715056,)
sub(sq(x1), sq(safe_div(x1, 0.509384469394349))); (36.927821146649556,)
sub(sq(x2), sq(sq(x1))); (38.33019674632512,)
-6; (38.78663007981714,)
sub(sq(sq(x2)), sq(x1)); (39.2848503022677,)
sub(safe_div(sub(x1, x2), safe_sqrt(0.07354494005969991)), sq(x2)); (39.29877342106656,)
sub(sq(x1), sq(safe_div(-0.8815072775774053, 0.3215972996926768))); (39.5153224292921,)
sub(sq(sq(x2)), sq(-0.6371506562779565)); (39.559319702304286,)
sub(sq(sq(x2)), safe_sqrt(sin(0))); (42.03515162002191,)
sub(sq(x1), 8); (45.75915035516787,)
sub(8, sq(x2)); (45.79414565294104,)
sub(sq(x1), sq(sub(sq(0.7856887304958802), add(x1, x1)))); (51.25454036979122,)
-7; (51.77665909631787,)
sub(sq(x1), sq(-3)); (60.073126361991136,)
add(8, x1); (68.39612753100552,)
neg(-10); (102.94616581580541,)
sub(sq(x1), sq(-4)); (216.270958409754,)
sub(sq(x1), sq(sq(safe_div(x2, -0.6233311303200573)))); (1163.1890735118016,)
sub(sub(mul(x2, x1), sq(6)), x2); (1301.2595987020193,)
tan(x2); (1769.1818972349733,)
sub(sub(sq(8), add(-0.29596891104121226, 1)), sq(x2)); (3840.198882013014,)
sub(sq(x2), neg(safe_div(0.49557107427466685, x2))); (4416.051131956678,)
sub(sq(neg(add(-9, x1))), sq(x1)); (6974.843704614769,)
sub(sq(x1), sq(sq(add(x2, x2)))); (7193.920686514782,)
sub(tan(x1), sq(x2)); (23998.627591674685,)
sub(tan(neg(x1)), sq(x2)); (24013.595358815655,)
sub(sq(x1), sq(sq(-6))); (1676138.1602471436,)
sub(sq(x1), sq(tan(x2))); (3961075383.513647,)
sub(sq(x1), sq(sub(safe_div(0.5471426642720554, x1), sq(x1)))); (23367700410.433674,)
sub(sq(tan(add(-0.04167134266858663, x2))), sq(x1)); (122638561119.24396,)
sub(sq(x1), sq(sq(sq(8)))); (281474931646654.5,)
