mul(mul(x2, safe_div(cos(-0.501179021780291), 0.343819853554463)), mul(x1, 0.7865925060636132)); (7.47819406301628e-05,)
mul(0.7865925060636132, mul(x1, mul(x2, safe_div(cos(-0.501179021780291), 0.343819853554463)))); (7.478194063016294e-05,)
mul(mul(x2, safe_div(cos(-0.501179021780291), 0.343819853554463)), mul(x1, cos(safe_sqrt(0.49457667447681164)))); (0.005333552470532629,)
mul(mul(x2, safe_div(cos(0.5810537747875182), 0.343819853554463)), mul(x1, 0.7865925060636132)); (0.01384481323244967,)
mul(mul(x2, safe_div(cos(0.343819853554463), 0.343819853554463)), mul(x1, 0.7865925060636132)); (0.04267873693567986,)
mul(mul(x2, safe_div(0.7865925060636132, 0.343819853554463)), mul(x1, 0.7865925060636132)); (0.07237961029886192,)
mul(mul(x2, safe_div(cos(cos(x2)), 0.343819853554463)), mul(x1, 0.7865925060636132)); (0.10124148434806161,)
mul(mul(x2, safe_div(cos(-0.501179021780291), 0.343819853554463)), mul(x1, cos(-0.501179021780291))); (0.10128393743506768,)
mul(mul(mul(x2, safe_div(cos(-0.501179021780291), 0.343819853554463)), cos(-0.501179021780291)), mul(x1, 0.7865925060636132)); (0.10405337343397,)
mul(mul(x2, safe_div(cos(cos(mul(x1, 0.7865925060636132))), 0.343819853554463)), mul(x1, 0.7865925060636132)); (0.11823861886607408,)
mul(mul(x2, safe_div(cos(mul(x1, -0.07675854817304772)), 0.343819853554463)), mul(x1, 0.7865925060636132)); (0.1330513251003832,)
mul(mul(x2, safe_div(0.7865925060636132, 0.343819853554463)), x1); (0.1492394012492449,)
mul(mul(x2, safe_div(cos(-0.501179021780291), 0.343819853554463)), mul(x1, cos(cos(-0.501179021780291)))); (0.2451855466234159,)
mul(mul(x2, safe_div(cos(0.7865925060636132), 0.343819853554463)), mul(x1, 0.7865925060636132)); (0.26596821026604395,)
mul(mul(mul(x2, 0.7865925060636132), safe_div(cos(-0.501179021780291), 0.343819853554463)), mul(x1, 0.7865925060636132)); (0.32047489008676894,)
mul(mul(x2, safe_div(cos(-0.501179021780291), 0.343819853554463)), mul(mul(x1, 0.7865925060636132), 0.7865925060636132)); (0.32047489008676894,)
mul(mul(x2, safe_div(cos(cos(-0.501179021780291)), 0.343819853554463)), mul(x1, 0.7865925060636132)); (0.5196959880483902,)
mul(mul(x2, safe_div(cos(-0.501179021780291), 0.343819853554463)), x1); (0.546615269140902,)
mul(x2, mul(x1, safe_div(cos(-0.501179021780291), 0.343819853554463))); (0.546615269140902,)
mul(mul(x2, safe_div(cos(cos(safe_sqrt(x1))), 0.343819853554463)), mul(x1, 0.7865925060636132)); (0.554691087926364,)
mul(mul(x2, sq(x2)), mul(x1, 0.7865925060636132)); (1.2550804920683654,)
mul(mul(x2, safe_div(cos(-0.501179021780291), 0.7865925060636132)), mul(x1, 0.7865925060636132)); (2.2721438878644458,)
mul(0.343819853554463, mul(x1, mul(x2, safe_div(cos(-0.501179021780291), 0.343819853554463)))); (2.2721438878644458,)
mul(x2, mul(x1, cos(-0.501179021780291))); (2.2721438878644458,)
mul(x2, mul(x1, 0.7865925060636132)); (2.6527882145038855,)
mul(mul(x2, safe_div(0.343819853554463, 0.343819853554463)), mul(x1, 0.7865925060636132)); (2.6527882145038855,)
mul(mul(x2, 0.7865925060636132), x1); (2.6527882145038855,)
mul(mul(x2, safe_div(cos(-0.501179021780291), cos(-0.501179021780291))), mul(x1, 0.7865925060636132)); (2.6527882145038855,)
mul(mul(x2, cos(-0.501179021780291)), mul(x1, 0.7865925060636132)); (3.09263109680382,)
mul(mul(x2, safe_div(cos(mul(x1, 0.7865925060636132)), 0.343819853554463)), mul(x1, 0.7865925060636132)); (3.110381341091608,)
mul(mul(x2, safe_div(cos(cos(-0.501179021780291)), 0.343819853554463)), mul(x1, 0.343819853554463)); (3.3351835988823018,)
mul(mul(x2, 0.7865925060636132), mul(x1, 0.7865925060636132)); (3.437540270540371,)
mul(x2, mul(mul(x1, 0.7865925060636132), 0.7865925060636132)); (3.437540270540371,)
mul(x2, mul(x1, cos(cos(sq(0.14157816378045895))))); (3.8380841636452403,)
mul(mul(x2, safe_div(safe_sqrt(safe_sqrt(x1)), 0.343819853554463)), mul(x2, safe_div(cos(-0.501179021780291), x2))); (4.027243394649789,)
mul(mul(x2, 0.343819853554463), x1); (4.942018675882556,)
mul(mul(x2, safe_div(cos(-0.501179021780291), safe_div(cos(-0.501179021780291), 0.343819853554463))), mul(x1, neg(-1))); (4.942018675882556,)
mul(mul(x2, safe_div(cos(-0.501179021780291), 0.7865925060636132)), mul(mul(x1, 0.7865925060636132), 0.343819853554463)); (5.197590410633042,)
mul(mul(x2, safe_div(cos(-0.501179021780291), mul(x2, safe_div(cos(-0.501179021780291), safe_sqrt(x2))))), mul(x1, 0.7865925060636132)); (5.201234655444516,)
mul(mul(x2, safe_div(0.7865925060636132, safe_sqrt(sin(x1)))), mul(x1, 0.7865925060636132)); (5.23514911024604,)
mul(mul(x2, 0.343819853554463), mul(x1, 0.7865925060636132)); (5.3896110605982255,)
mul(mul(mul(x2, safe_div(cos(-0.501179021780291), 0.343819853554463)), cos(-0.501179021780291)), mul(x1, safe_sqrt(neg(-3)))); (6.332614434117758,)
mul(mul(x2, cos(x2)), mul(x1, 0.7865925060636132)); (7.0748154697855705,)
mul(mul(x2, mul(0.07363168336904469, x2)), mul(0.343819853554463, 0.7865925060636132)); (7.205064056547266,)
mul(mul(x2, safe_div(cos(-0.501179021780291), 0.343819853554463)), mul(neg(-0.0006369231675880105), cos(-0.6322392860586716))); (7.20684146307785,)
mul(mul(x2, safe_div(cos(-0.501179021780291), 0.343819853554463)), mul(x1, safe_div(add(x2, x2), mul(0, -0.19458416588653282)))); (7.206912100259437,)
mul(mul(x2, safe_div(mul(x1, 0.7865925060636132), 0.343819853554463)), mul(x1, safe_sqrt(sub(x2, 9)))); (7.206912100259437,)
mul(mul(x1, safe_div(cos(0.7865925060636132), safe_div(safe_div(cos(-0.501179021780291), 0.343819853554463), 0.343819853554463))), mul(x1, 0.7865925060636132)); (7.219652797973334,)
0.17304559670371433; (7.227460398783786,)
mul(mul(x2, 0.343819853554463), mul(cos(-0.8990877487105142), 0.7865925060636132)); (7.235587942098095,)
0.2038406299356479; (7.2373944338254255,)
mul(mul(x2, safe_div(-0.501179021780291, x2)), -0.501179021780291); (7.2563644520801365,)
mul(cos(-0.501179021780291), mul(neg(-0.3763817054261207), 0.7865925060636132)); (7.260230472722862,)
mul(mul(0.343819853554463, safe_div(0.343819853554463, -0.501179021780291)), mul(x1, 0.7865925060636132)); (7.262807536679234,)
mul(0.343819853554463, mul(x1, 0.7865925060636132)); (7.290436590685499,)
mul(mul(x2, safe_div(cos(-0.501179021780291), mul(x2, safe_div(cos(-0.501179021780291), 0.343819853554463)))), mul(x1, 0.7865925060636132)); (7.290436590685499,)
mul(mul(x2, safe_div(cos(-0.501179021780291), 0.343819853554463)), mul(x1, safe_div(cos(mul(x1, 0.7865925060636132)), 0.343819853554463))); (7.339353312782834,)
mul(mul(x1, safe_div(cos(0.7865925060636132), safe_div(cos(-0.501179021780291), 0.343819853554463))), mul(x1, 0.7865925060636132)); (7.343646308314212,)
mul(mul(x2, safe_div(cos(-0.501179021780291), mul(x2, safe_div(cos(-0.501179021780291), 0.343819853554463)))), x1); (7.3468521681596455,)
mul(mul(x2, safe_div(cos(-0.501179021780291), mul(x2, safe_div(cos(0.343819853554463), 0.7865925060636132)))), -0.501179021780291); (7.3617135211287374,)
mul(mul(x2, safe_div(cos(-0.501179021780291), 1)), mul(-0.501179021780291, 0.7865925060636132)); (7.386693766248031,)
mul(-0.501179021780291, mul(x1, 0.7865925060636132)); (7.4357613479229565,)
mul(mul(x2, safe_div(x2, -8)), mul(safe_div(cos(-0.501179021780291), 0.343819853554463), 0.7865925060636132)); (7.4506748849514555,)
mul(mul(x2, safe_div(cos(x1), 0.343819853554463)), mul(x1, 0.7865925060636132)); (7.473565346724674,)
mul(0.7865925060636132, mul(x1, mul(x2, safe_div(cos(x1), 0.343819853554463)))); (7.473565346724674,)
mul(mul(x2, safe_div(cos(-0.501179021780291), 0.343819853554463)), mul(-0.501179021780291, 0.343819853554463)); (7.490841770177,)
0.5649383641617873; (7.495390962491104,)
mul(0.7865925060636132, mul(mul(x1, 0.7865925060636132), 0.7865925060636132)); (7.498035971061185,)
mul(mul(x2, safe_div(cos(x1), 0.343819853554463)), mul(0.343819853554463, 0.7865925060636132)); (7.523990720616367,)
mul(x1, mul(x1, -0.33071282390375933)); (7.580218943722064,)
mul(mul(x2, safe_div(cos(0.7865925060636132), x2)), mul(x1, 0.7865925060636132)); (7.590403224090977,)
mul(mul(x2, safe_div(cos(x2), 0.343819853554463)), mul(x1, 0.7865925060636132)); (7.622253489687255,)
mul(mul(x2, safe_div(cos(-0.501179021780291), 0.343819853554463)), mul(x1, cos(x1))); (7.661168598121198,)
mul(0.7865925060636132, mul(x1, 0.7865925060636132)); (7.6863331579701075,)
mul(0.7865925060636132, mul(x2, 0.7865925060636132)); (7.686613562542856,)
mul(cos(-0.501179021780291), mul(x1, 0.7865925060636132)); (7.807099230821416,)
mul(mul(x2, safe_div(cos(-0.501179021780291), x1)), mul(x1, 0.7865925060636132)); (7.807656494411242,)
mul(mul(x2, safe_div(cos(-0.501179021780291), 0.343819853554463)), mul(0.343819853554463, 0.7865925060636132)); (7.807656494411242,)
mul(mul(x2, safe_div(cos(0.343819853554463), x1)), mul(x1, 0.7865925060636132)); (7.902235367347322,)
mul(mul(mul(x2, safe_div(cos(-0.501179021780291), sub(-9, 9))), safe_div(cos(-0.501179021780291), 0.343819853554463)), mul(x1, 0.7865925060636132)); (7.928680472475765,)
mul(cos(-0.501179021780291), mul(x1, cos(-0.501179021780291))); (7.95771040610504,)
mul(x2, 0.7865925060636132); (7.994092425228329,)
mul(mul(x2, safe_div(cos(-0.501179021780291), mul(x1, cos(-0.501179021780291)))), mul(x1, 0.7865925060636132)); (7.994092425228329,)
mul(mul(x2, x2), -0.501179021780291); (8.101501361377778,)
sq(-0.9884301335530086); (8.108378259184699,)
mul(mul(x2, safe_div(cos(-0.501179021780291), mul(x1, 0.7865925060636132))), mul(x1, 0.7865925060636132)); (8.191089780161967,)
mul(mul(x2, safe_div(cos(-0.501179021780291), 0.343819853554463)), 0.343819853554463); (8.191089780161967,)
mul(mul(x1, 0.7865925060636132), mul(x1, 0.7865925060636132)); (8.389829961185143,)
mul(safe_div(cos(mul(x1, 0.7865925060636132)), 0.343819853554463), mul(x1, 0.7865925060636132)); (8.528528480319451,)
mul(mul(cos(-0.501179021780291), safe_div(-0.501179021780291, 0.343819853554463)), mul(x1, 0.7865925060636132)); (8.613251816630019,)
mul(mul(-0.501179021780291, safe_div(cos(-0.501179021780291), 0.343819853554463)), mul(x1, 0.7865925060636132)); (8.613251816630019,)
mul(mul(x2, safe_div(cos(-0.501179021780291), 0.343819853554463)), mul(-0.501179021780291, 0.7865925060636132)); (8.6209393392322,)
mul(mul(x2, safe_div(cos(mul(x1, 0.7865925060636132)), 0.343819853554463)), -0.501179021780291); (8.673085059971754,)
mul(mul(sq(x1), safe_div(cos(-0.501179021780291), x1)), mul(x1, 0.7865925060636132)); (8.682955898654043,)
mul(mul(x2, x1), sin(x1)); (8.701601823047268,)
mul(mul(x2, mul(x1, 0.7865925060636132)), mul(x1, 0.7865925060636132)); (8.823111665048572,)
mul(neg(sq(x2)), mul(mul(x1, 0.7865925060636132), 0.7865925060636132)); (9.00811928693688,)
mul(x1, mul(x1, 0.7865925060636132)); (9.133633984046014,)
